15m_timestamp,15m_open,15m_high,15m_low,15m_close,15m_volume
1635355800000,59116.25,59128.9,58818.54,58835.54,8.49019
1635356700000,58835.54,58932.81,58801.69,58892.68,4.100588
1635357600000,58892.68,59027.48,58845.58,58845.58,2.080372
1635358500000,58845.58,59000.0,58780.37,58928.87,2.295434
1635359400000,58928.87,58985.55,58841.73,58856.84,1.281349
1635360300000,58856.84,58856.84,58711.12,58786.46,3.771071
1635361200000,58786.46,58832.62,58314.0,58314.0,28.166864
1635362100000,58314.0,58587.35,58174.57,58376.74,16.91164
1635363000000,58376.74,58558.14,58196.26,58379.69,7.601901
1635363900000,58379.69,59135.24,58348.86,59081.31,16.198947
1635364800000,59081.31,59560.23,58826.24,58885.01,9.90016
1635365700000,58885.01,59009.41,58758.87,58776.89,6.327434
1635366600000,58776.89,58886.99,58577.85,58603.79,3.539998
1635367500000,58603.79,58992.5,58574.09,58865.06,8.103751
1635368400000,58865.06,58991.45,58761.44,58865.4,20.530091
1635369300000,58865.4,58969.41,58800.0,58823.41,4.181822
1635370200000,58823.41,59007.32,58823.41,58979.38,6.440669
1635371100000,58979.38,59125.1,58768.83,58768.83,9.750518
1635372000000,58768.83,58820.98,58646.03,58654.52,25.013145
1635372900000,58654.52,58849.38,58615.71,58849.38,5.926373
1635373800000,58849.38,58872.68,58567.15,58567.15,9.820614
1635374700000,58567.15,58762.03,58504.09,58754.58,9.128937
1635375600000,58754.58,58892.23,58691.89,58691.89,5.233592
1635376500000,58691.89,58691.89,58446.62,58447.64,22.860835
1635377400000,58447.64,58576.93,58434.59,58531.8,20.8448
1635378300000,58531.8,58786.66,58460.07,58485.76,20.391865
1635379200000,58485.76,58872.19,58454.39,58781.71,16.448842
1635380100000,58781.71,58943.98,58677.36,58677.36,3.182512
1635381000000,58677.36,58728.34,58474.37,58538.32,8.730728
1635381900000,58538.32,58603.17,58270.01,58300.01,11.629409
1635382800000,58300.01,58783.1,58146.86,58767.44,20.812094
1635383700000,58767.44,58874.47,58600.9,58759.57,6.758738
1635384600000,58759.57,59000.0,58636.0,58896.15,8.102295
1635385500000,58896.15,58949.44,58752.51,58943.0,5.632187
1635386400000,58943.0,58943.23,58780.54,58790.27,2.707819
1635387300000,58790.27,58849.09,58686.16,58686.16,1.573878
1635388200000,58686.16,58865.1,58684.4,58831.72,2.678286
1635389100000,58831.72,58938.95,58813.18,58927.76,3.159828
1635390000000,58927.76,59157.39,58927.76,59087.26,9.932493
1635390900000,59087.26,59087.26,58686.04,58758.16,8.537438
