1d_timestamp,1d_open,1d_high,1d_low,1d_close,1d_volume
1654300800000,29704.54,29982.9,29487.74,29870.86,1730.122207
1654387200000,29870.86,30236.63,29536.68,29920.8,1896.65778
1654473600000,29920.8,31758.79,29888.88,31371.82,5637.268622
1654560000000,31371.82,31581.05,29215.38,31123.41,5147.798745
1654646400000,31123.41,31320.36,29845.96,30202.58,4243.88759
1654732800000,30202.58,30699.99,29946.99,30102.09,2757.744506
1654819200000,30102.09,30364.1,28855.01,29088.69,4727.357949
1654905600000,29088.69,29437.91,28101.02,28422.39,2510.072893
1654992000000,28422.39,28545.35,26559.85,26578.02,4344.944837
1655078400000,26578.02,26886.83,21937.0,22485.59,15390.382143
1655164800000,22485.59,23369.09,20866.01,22150.09,11397.304219
1655251200000,22150.09,22804.62,20104.5,22582.72,15644.531862
1655337600000,22582.72,23000.0,20232.0,20401.2,6345.42068
1655424000000,20401.2,21370.59,20241.09,20464.85,4804.557857
1655510400000,20464.85,20777.27,17625.01,18980.4,8872.652904
1655596800000,18980.4,20810.93,17954.64,20574.08,9324.588665
1655683200000,20574.08,21074.19,19641.65,20576.55,6298.740617
1655769600000,20576.55,21716.66,20345.35,20725.4,5093.787906
1655856000000,20725.4,20894.99,19767.27,19991.52,5426.243686
1655942400000,19991.52,21238.41,19886.33,21110.97,6015.907672
1656028800000,21110.97,21559.28,20739.57,21238.42,5205.770651
1656115200000,21238.42,21607.65,20907.81,21491.37,2895.776098
1656201600000,21491.37,21882.23,20971.28,21038.91,2253.067899
1656288000000,21038.91,21546.11,20518.04,20739.51,3322.170719
1656374400000,20739.51,21212.5,20203.59,20280.4,4104.845203
1656460800000,20280.4,20433.99,19851.4,20126.0,4940.97315
1656547200000,20126.0,20171.76,18625.0,19947.96,9464.0304
1656633600000,19947.96,20926.71,18966.84,19281.8,9540.546032
1656720000000,19281.8,19447.74,18981.0,19251.74,2966.433388
1656806400000,19251.74,19648.13,18780.37,19315.27,2883.062387
1656892800000,19315.27,20359.68,19053.02,20237.99,5016.41958
1656979200000,20237.99,20747.06,19300.0,20174.35,6946.697845
1657065600000,20174.35,20670.93,19765.75,20564.05,5210.425243
1657152000000,20564.05,21836.89,20250.0,21618.7,5862.289343
1657238400000,21618.7,22526.36,21183.18,21593.13,6770.345943
1657324800000,21593.13,21994.72,21323.05,21590.24,2508.779821
1657411200000,21590.24,21606.48,20639.57,20861.22,2728.357746
1657497600000,20861.22,20861.48,19880.0,19962.69,3387.391808
1657584000000,19962.69,20058.76,19249.3,19332.71,4684.517703
1657670400000,19332.71,20359.99,18911.04,20239.13,7839.893743
1657756800000,20239.13,20895.32,19625.76,20591.15,5756.575476
1657843200000,20591.15,21200.0,20383.34,20832.45,4373.489352
1657929600000,20832.45,21582.47,20473.64,21196.23,3138.949522
1658016000000,21196.23,21674.99,20755.72,20801.77,3033.067026
1658102400000,20801.77,22768.06,20764.1,22440.0,5617.596898
1658188800000,22440.0,23797.85,21581.99,23398.06,6696.447694
1658275200000,23398.06,24265.89,22919.4,23219.63,7007.354487
1658361600000,23219.63,23427.84,22345.85,23147.78,4741.754297
1658448000000,23147.78,23747.99,22506.0,22687.01,3585.480719
1658534400000,22687.01,22997.15,21945.31,22452.4,2405.627435
1658620800000,22452.4,23007.64,22262.75,22581.53,2032.943388
