4h_timestamp,4h_open,4h_high,4h_low,4h_close,4h_volume
1657267200000,21797.26,21816.5,21304.23,21583.2,1254.964395
1657281600000,21583.2,22123.2,21183.18,21959.0,2027.452438
1657296000000,21959.0,21976.16,21541.73,21813.84,776.104196
1657310400000,21813.84,22033.22,21581.47,21593.13,559.409165
1657324800000,21593.13,21687.99,21408.0,21606.69,528.167912
1657339200000,21606.69,21726.37,21485.36,21649.67,426.164177
1657353600000,21649.67,21766.66,21323.05,21440.38,403.900556
1657368000000,21440.38,21713.61,21387.56,21552.62,405.0086
1657382400000,21552.62,21994.72,21520.26,21619.76,431.273445
1657396800000,21619.76,21750.41,21550.0,21590.24,314.265131
1657411200000,21590.24,21606.48,21118.4,21297.92,597.245522
1657425600000,21297.92,21370.0,21165.88,21338.4,309.123261
1657440000000,21338.4,21424.74,21160.0,21303.13,343.905565
1657454400000,21303.13,21344.65,20836.0,20900.42,648.396265
1657468800000,20900.42,21042.8,20639.57,20917.39,423.085401
1657483200000,20917.39,21178.26,20697.47,20861.22,406.601732
1657497600000,20861.22,20861.48,20459.66,20550.91,578.675873
1657512000000,20550.91,20605.55,20366.56,20441.91,440.674143
1657526400000,20441.91,20626.49,20414.5,20473.29,372.842449
1657540800000,20473.29,20760.0,20274.29,20435.01,790.1571
1657555200000,20435.01,20717.46,20401.08,20503.09,497.124909
1657569600000,20503.09,20558.13,19880.0,19962.69,707.917334
1657584000000,19962.69,20003.0,19796.37,19942.15,501.78441
1657598400000,19942.15,20058.76,19620.77,19732.13,727.050709
1657612800000,19732.13,19830.0,19555.56,19779.01,844.104508
1657627200000,19779.01,20005.3,19698.38,19884.68,964.938754
1657641600000,19884.68,20006.14,19290.0,19400.03,1053.875356
1657656000000,19400.03,19550.0,19249.3,19332.71,592.763966
1657670400000,19332.71,19575.75,19267.33,19473.51,377.596399
1657684800000,19473.51,19868.0,19422.99,19710.27,472.449212
1657699200000,19710.27,19928.55,19668.41,19841.68,675.521063
1657713600000,19841.68,20115.26,18911.04,19458.13,3710.730999
1657728000000,19458.13,20047.02,19233.34,19653.3,1645.654854
1657742400000,19653.3,20359.99,19589.22,20239.13,957.941216
1657756800000,20239.13,20434.2,20170.23,20223.82,922.319117
1657771200000,20223.82,20271.93,19899.89,19989.38,725.680891
1657785600000,19989.38,20056.36,19647.88,19740.47,831.052438
1657800000000,19740.47,20458.66,19625.76,20385.4,1551.049039
1657814400000,20385.4,20895.32,20139.93,20606.39,1361.446926
1657828800000,20606.39,20715.52,20444.01,20591.15,365.027065
1657843200000,20591.15,20820.0,20383.34,20612.7,596.327166
1657857600000,20612.7,20927.8,20496.95,20830.33,638.553051
1657872000000,20830.33,21039.53,20726.36,20768.33,837.026286
1657886400000,20768.33,21095.27,20762.98,20794.59,1104.918335
